60;30
'5117, 5118, 5119, 51246, 5129, 51346, 51347, 51348, 51349, 51419, 51429, 51439, 51443, 51444, 51445, 51446, 51448, 51449, 51519, 51529, 51539, 51542, 51543, 51544, 51545, 51546, 51547, 51548, 51549, 51569, 51619, 51629, 51639, 51643, 51646, 51648, 51649, 51659, 51669, 51729, 51739, 51742, 51746, 51747, 51748, 51749, 51769, 51829, 51839, 51846, 51847, 51849, 51946, 51947, 51948, 51949';0.2300;0.2300
'63';0.1100;0.1100
'6332';0.1100;0.1100
'632';0.1100;0.1100
'639';0.1550;0.1550
'63915, 63916, 63917, 63926, 63927';0.1550;0.1550
'63909, 63910, 63912, 63918, 63919, 63920, 63921, 63928, 63929, 6398';0.1300;0.1300
'48';0.0110;0.0110
'4823, 4824, 4825, 4829, 4842, 4844, 4848';0.0110;0.0110
'4816, 4833, 4834, 4841, 4846, 4854, 4855, 4856, 4859, 4862, 4863, 4865, 4867, 4874, 4875, 4876, 4877, 4881, 4882, 4883, 4884, 4886, 4887, 4894, 4895';0.0110;0.0110
'4813, 4814, 4815, 4818, 4852, 4861, 4868, 4885, 4889, 4891';0.0110;0.0110
'4843';0.0110;0.0110
'4858';0.0110;0.0110
'4832';0.0110;0.0110
'4812';0.0110;0.0110
'4817';0.0110;0.0110
'4822';0.0110;0.0110
'4871';0.0110;0.0110
'486666, 48699, 48790, 48791, 48792, 48793';0.1500;0.1500
'48600, 48602, 48604, 48606, 48608, 48660, 48662, 48664, 48668, 48692, 48694, 48696, 48698, 48784, 48787, 48788, 48880, 48884, 48886, 48888, 48889';0.1500;0.1500
'4850, 4851, 48690, 48780, 48786, 48789, 48794, 48795, 48796, 48797, 48798, 48799';0.1500;0.1500
'48601, 48603, 48605, 48607, 48609, 48661, 48663, 48665, 48667, 48669, 48691, 48693, 48695, 48697, 48721, 48722, 48781, 48782, 48783, 48785, 48885, 48887';0.1500;0.1500
'351';0.0130;0.0130
'351292, 351295, 351296';0.0130;0.0130
'35121';0.0130;0.0130
'351256, 351291';0.0140;0.0140
'351169, 351189, 351609, 351669, 3519';0.1600;0.1600
'35193';0.1600;0.1600
'35191';0.1600;0.1600
'35196';0.1600;0.1600
'1787, 1939';0.0140;0.0140
'974';0.2200;0.2200
'262';0.2600;0.2600
'40';0.0660;0.0660
'4021';0.0660;0.0660
'407';0.1770;0.1770
'4076';0.1770;0.1770
'4072, 4073';0.1900;0.1900
'4074, 4075';0.1770;0.1770
'4078';0.2300;0.2300
'7';0.0450;0.0450
'7495, 7499';0.0100;0.0100
'7097, 7477, 7478, 75';0.0400;0.0400
'7812';0.0100;0.0100
'790, 791, 792, 7954';0.0450;0.0450
'250';0.1000;0.1000
'25005, 25006, 25008';0.1200;0.1200
'247, 2897, 290';1.0000;1.0000
'1869';0.1900;0.1900
'1758';0.1900;0.1900
'508';0.4000;0.4000
'1784';0.1800;0.1800
'378';0.0210;0.0210
'239';0.8000;0.8000
'966';0.1650;0.1650
'966430, 9665, 966630, 9668';0.1610;0.1610
'221';0.1800;0.1800
'2212, 2213, 2214, 2215, 2216';0.1800;0.1800
'381';0.0600;0.0600
'38111';0.0600;0.0600
'3816';0.1700;0.1700
'38161, 38162, 38163';0.1700;0.1700
'38164, 38165, 38166';0.1700;0.1700
'248';0.1200;0.1200
'232';0.1450;0.1450
'65';0.0100;0.0100
'658, 659';0.0100;0.0100
'421';0.0150;0.0150
'4212';0.0150;0.0150
'421233, 4213123, 4213223, 4213323, 4213423, 4213523, 4213623, 4213723, 4213823, 4214123, 4214223, 4214323, 4214423, 4214523, 4214623, 4214723, 4214823, 4215123, 4215223, 4215323, 4215423, 4215523, 4215623, 4215723, 4215823';0.0150;0.0150
'42133, 42141, 42155';0.0150;0.0150
'421914';0.1330;0.1330
'421949';0.1330;0.1330
'421905, 421906, 421907, 421908, 421915, 421916, 421917, 421918, 421919';0.1330;0.1330
'421901, 421902, 421903, 421904, 421910, 421911, 421912';0.1330;0.1330
'421900, 42197, 42198';0.1330;0.1330
'386';0.0180;0.0180
'38649, 38670, 38671';0.2200;0.2200
'38631, 38641, 38650, 38651';0.2200;0.2200
'38630, 38640';0.2300;0.2300
'677';0.7000;0.7000
'252';0.3600;0.3600
'27';0.0541;0.0541
